# Logger: PatternLogger | Started: Sun Apr 26 10:47:21 EDT 2026
fired_at,fired_offset_sec,pattern_name,pattern_type,subpatterns,subpattern_confidences,num_subpatterns,num_events,confidence,contributing_streams,nested_event_ids
2026-04-26 10:47:52.024,30.459,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[49ad7e89-b2b2-4eb6-874b-731fa296ee3a];[b43ad9e6-f7b8-4cff-a3da-a21032c070e3]]
2026-04-26 10:47:53.015,31.450,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[2a9f20c3-2151-407d-8395-5a7d7025de9c]]
2026-04-26 10:47:53.030,31.465,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[7a513153-bd21-46c3-94ff-5cd418a1350e]]
2026-04-26 10:47:53.030,31.465,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[49ad7e89-b2b2-4eb6-874b-731fa296ee3a];[b43ad9e6-f7b8-4cff-a3da-a21032c070e3];[7a513153-bd21-46c3-94ff-5cd418a1350e]]
2026-04-26 10:47:53.030,31.465,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[2a9f20c3-2151-407d-8395-5a7d7025de9c];[7a513153-bd21-46c3-94ff-5cd418a1350e]]
2026-04-26 10:47:54.022,32.457,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[cee4a247-6c54-4528-8b15-1a6e63ba671b]]
2026-04-26 10:47:54.034,32.469,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[f75ee3f2-8544-4d14-ac0c-7aa56ce47160]]
2026-04-26 10:47:54.035,32.470,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[2a9f20c3-2151-407d-8395-5a7d7025de9c];[7a513153-bd21-46c3-94ff-5cd418a1350e];[f75ee3f2-8544-4d14-ac0c-7aa56ce47160]]
2026-04-26 10:47:54.035,32.470,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[cee4a247-6c54-4528-8b15-1a6e63ba671b];[f75ee3f2-8544-4d14-ac0c-7aa56ce47160]]
2026-04-26 10:47:55.011,33.446,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[907ce0bd-30f6-40a7-a0fb-00c1fbe99d7e]]
2026-04-26 10:47:55.012,33.447,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[cee4a247-6c54-4528-8b15-1a6e63ba671b];[f75ee3f2-8544-4d14-ac0c-7aa56ce47160];[907ce0bd-30f6-40a7-a0fb-00c1fbe99d7e]]
2026-04-26 10:47:55.023,33.458,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[ccd1f097-d6d3-4a9a-885b-917ccac787a3]]
2026-04-26 10:47:56.016,34.451,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[31b99079-b851-4d6d-8336-6a95ce8fac15]]
2026-04-26 10:47:56.029,34.464,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[34ec4334-d7be-4393-920b-c783f9275ff2]]
2026-04-26 10:47:56.030,34.465,HighSpeedOverheat,complex,[Overspeeding;EngineOverheat],[1.0000;1.0000],2,2,1.0000,[engine-temp-1;speed-1],[[ccd1f097-d6d3-4a9a-885b-917ccac787a3];[34ec4334-d7be-4393-920b-c783f9275ff2]]
2026-04-26 10:47:57.024,35.459,EngineOverheat,atomic,[EngineOverheat],[1.0000],1,1,1.0000,[engine-temp-1],[[e60fe789-0780-4237-89db-ade9846aa918]]
2026-04-26 10:47:57.025,35.460,CrazyEvent,complex,[HighSpeedOverheat;EngineOverheat],[1.0000;1.0000],3,3,1.0000,[engine-temp-1;speed-1],[[ccd1f097-d6d3-4a9a-885b-917ccac787a3];[34ec4334-d7be-4393-920b-c783f9275ff2];[e60fe789-0780-4237-89db-ade9846aa918]]
2026-04-26 10:47:57.036,35.471,Overspeeding,atomic,[Overspeeding],[1.0000],1,1,1.0000,[speed-1],[[9f6258e1-557a-4d52-bbf5-0bda9cbf3a9c]]
